o-xylene,p-xylene,-0.14,0.07
benzofuran,indene,1.79,0.03
benzene,n-butylbenzene,3.54,0.08
benzene,indole,3.00,0.06
p-xylene,indole,1.04,0.11
benzene,isobutylbenzene,2.31,0.08
isobutylbenzene,o-xylene,0.92,0.09
benzene,o-xylene,0.66,0.07
o-xylene,indole,1.76,0.11
isobutylbenzene,p-xylene,-0.02,0.09
benzene,benzofuran,1.08,0.04
indene,indole,1.71,0.03
n-butylbenzene,indene,2.94,0.10
benzene,p-xylene,0.81,0.06
n-butylbenzene,p-xylene,1.14,0.08
o-xylene,indene,1.46,0.10
p-xylene,indene,1.00,0.11
benzofuran,indole,2.36,0.01
isobutylbenzene,n-butylbenzene,-1.32,0.07
benzene,indene,1.02,0.04
